o0|78|268|347|195
o1|78|463|135|9
o2|101|788|362|27
o3|101|815|245|22
o4|101|837|217|45
o5|138|882|180|14
o6|142|40|62|138
o7|170|648|380|37
o8|170|685|293|103
o9|206|637|64|11
o10|207|259|218|9
o11|216|463|186|156
o12|252|241|64|18
o13|316|244|109|15
o14|319|619|231|29
o15|402|559|148|60
o16|493|769|333|7
o17|493|776|253|201
o18|493|977|203|5
o19|610|575|291|67
o20|610|642|216|127
o21|621|565|280|10
o22|672|460|229|105
o23|699|220|222|31
o24|699|251|221|190
o25|746|900|171|77
o26|865|75|56|145
